Amplitude (LSB) - Signal,Time (us)
00004,1.153320
-0092,1.154297
-0044,1.155273
-0020,1.156250
-0092,1.157227
00036,1.158203
-0020,1.159180
00036,1.160156
00044,1.161133
00363,1.162109
-0044,1.163086
-0044,1.164062
00040,1.165039
-0028,1.166016
00004,1.166992
00000,1.167969
00036,1.168945
-0104,1.169922
-0036,1.170898
-0148,1.171875
-0132,1.172852
-0036,1.173828
00004,1.174805
00028,1.175781
00012,1.176758
00064,1.177734
00024,1.178711
-0116,1.179688
-0084,1.180664
-0024,1.181641
-0060,1.182617
00020,1.183594
00052,1.184570
-0383,1.185547
-0012,1.186523
00132,1.187500
00068,1.188477
-0004,1.189453
00036,1.190430
-0020,1.191406
00076,1.192383
00064,1.193359
-0024,1.194336
-0004,1.195312
-0084,1.196289
-0016,1.197266
-0024,1.198242
00000,1.199219
00048,1.200195
00339,1.201172
00020,1.202148
-0028,1.203125
00096,1.204102
00036,1.205078
00004,1.206055
00008,1.207031
-0056,1.208008
00036,1.208984
-0012,1.209961
-0124,1.210938
00060,1.211914
00012,1.212891
-0036,1.213867
-0020,1.214844
00020,1.215820
-0096,1.216797
00016,1.217773
-0056,1.218750
00076,1.219727
-0004,1.220703
00024,1.221680
00000,1.222656
-0020,1.223633
00068,1.224609
00028,1.225586
00004,1.226562
00068,1.227539
00028,1.228516
00016,1.229492
-0044,1.230469
-0004,1.231445
00060,1.232422
00016,1.233398
-0128,1.234375
00020,1.235352
-0056,1.236328
-0024,1.237305
-0020,1.238281
-0036,1.239258
-0072,1.240234
-0016,1.241211
-0056,1.242188
-0052,1.243164
-0036,1.244141
-0012,1.245117
00000,1.246094
-0028,1.247070
-0235,1.248047
-0012,1.249023
00056,1.250000
00040,1.250977
-0020,1.251953
00020,1.252930
00028,1.253906
00016,1.254883
-0235,1.255859
00036,1.256836
-0008,1.257812
-0112,1.258789
00012,1.259766
-0004,1.260742
00008,1.261719
00052,1.262695
00060,1.263672
-0004,1.264648
-0048,1.265625
-0092,1.266602
-0004,1.267578
00028,1.268555
-0020,1.269531
-0044,1.270508
00044,1.271484
-0052,1.272461
00040,1.273438
-0036,1.274414
-0004,1.275391
-0012,1.276367
00000,1.277344
-0036,1.278320
00351,1.279297
00052,1.280273
-0104,1.281250
-0012,1.282227
00020,1.283203
00028,1.284180
00028,1.285156
00012,1.286133
-0092,1.287109
-0020,1.288086
-0040,1.289062
00056,1.290039
-0044,1.291016
00036,1.291992
-0052,1.292969
-0016,1.293945
-0243,1.294922
00044,1.295898
00032,1.296875
00060,1.297852
00028,1.298828
-0024,1.299805
-0020,1.300781
-0004,1.301758
-0092,1.302734
00016,1.303711
-0128,1.304688
-0024,1.305664
-0004,1.306641
00004,1.307617
00000,1.308594
00028,1.309570
00219,1.310547
00004,1.311523
-0028,1.312500
-0060,1.313477
-0024,1.314453
00028,1.315430
-0028,1.316406
-0028,1.317383
00219,1.318359
-0016,1.319336
00044,1.320312
00028,1.321289
-0052,1.322266
00024,1.323242
-0028,1.324219
00024,1.325195
00195,1.326172
00004,1.327148
-0084,1.328125
-0048,1.329102
-0028,1.330078
00048,1.331055
-0028,1.332031
-0020,1.333008
00076,1.333984
00048,1.334961
-0235,1.335938
-0044,1.336914
-0020,1.337891
-0020,1.338867
-0008,1.339844
00052,1.340820
00064,1.341797
00020,1.342773
-0080,1.343750
-0020,1.344727
-0004,1.345703
-0028,1.346680
-0020,1.347656
00076,1.348633
-0231,1.349609
-0020,1.350586
-0032,1.351562
00060,1.352539
-0016,1.353516
00028,1.354492
-0008,1.355469
00044,1.356445
-0371,1.357422
-0004,1.358398
00108,1.359375
00148,1.360352
-0068,1.361328
00024,1.362305
00008,1.363281
00004,1.364258
-0108,1.365234
-0004,1.366211
-0004,1.367188
00148,1.368164
-0048,1.369141
00036,1.370117
00044,1.371094
-0036,1.372070
00052,1.373047
00036,1.374023
00000,1.375000
-0004,1.375977
00056,1.376953
-0024,1.377930
00044,1.378906
-0004,1.379883
-0251,1.380859
00016,1.381836
-0032,1.382812
-0068,1.383789
00004,1.384766
-0016,1.385742
00008,1.386719
00020,1.387695
00060,1.388672
-0020,1.389648
-0092,1.390625
-0112,1.391602
00048,1.392578
00028,1.393555
-0028,1.394531
-0016,1.395508
00092,1.396484
00004,1.397461
00164,1.398438
-0020,1.399414
00052,1.400391
-0004,1.401367
00000,1.402344
-0004,1.403320
-0092,1.404297
-0016,1.405273
-0036,1.406250
-0020,1.407227
-0004,1.408203
-0004,1.409180
00008,1.410156
00004,1.411133
-0371,1.412109
-0004,1.413086
-0048,1.414062
00148,1.415039
-0012,1.416016
-0056,1.416992
00020,1.417969
00004,1.418945
-0231,1.419922
00004,1.420898
-0060,1.421875
-0068,1.422852
-0012,1.423828
00004,1.424805
00020,1.425781
-0016,1.426758
00048,1.427734
-0004,1.428711
-0040,1.429688
-0076,1.430664
-0020,1.431641
00052,1.432617
00008,1.433594
00028,1.434570
00235,1.435547
00004,1.436523
-0088,1.437500
00012,1.438477
-0052,1.439453
00020,1.440430
00008,1.441406
00056,1.442383
-0383,1.443359
-0012,1.444336
-0064,1.445312
00068,1.446289
00024,1.447266
00004,1.448242
-0028,1.449219
-0044,1.450195
00064,1.451172
00004,1.452148
-0112,1.453125
-0020,1.454102
-0024,1.455078
00004,1.456055
-0008,1.457031
00060,1.458008
00351,1.458984
-0004,1.459961
-0068,1.460938
00132,1.461914
-0012,1.462891
-0004,1.463867
00036,1.464844
-0004,1.465820
-0076,1.466797
00048,1.467773
00028,1.468750
-0028,1.469727
00004,1.470703
-0036,1.471680
00020,1.472656
-0016,1.473633
00052,1.474609
00004,1.475586
-0092,1.476562
-0028,1.477539
-0012,1.478516
00036,1.479492
-0028,1.480469
00036,1.481445
-0068,1.482422
00004,1.483398
00164,1.484375
00164,1.485352
-0036,1.486328
00028,1.487305
00036,1.488281
-0016,1.489258
-0092,1.490234
-0004,1.491211
-0080,1.492188
00004,1.493164
00044,1.494141
00044,1.495117
00000,1.496094
00004,1.497070
00355,1.498047
-0012,1.499023
-0028,1.500000
-0024,1.500977
00036,1.501953
-0016,1.502930
-0020,1.503906
00076,1.504883
-0239,1.505859
-0012,1.506836
-0187,1.507812
-0092,1.508789
00036,1.509766
00048,1.510742
00036,1.511719
00076,1.512695
-0243,1.513672
00044,1.514648
00104,1.515625
00020,1.516602
-0016,1.517578
00020,1.518555
00020,1.519531
00004,1.520508
-0387,1.521484
-0016,1.522461
-0020,1.523438
-0108,1.524414
00048,1.525391
-0004,1.526367
-0008,1.527344
00044,1.528320
00060,1.529297
00024,1.530273
00032,1.531250
-0024,1.532227
00048,1.533203
00036,1.534180
00000,1.535156
00028,1.536133
-0084,1.537109
00044,1.538086
00024,1.539062
-0060,1.540039
-0024,1.541016
00036,1.541992
-0020,1.542969
00012,1.543945
00036,1.544922
00036,1.545898
00068,1.546875
00020,1.547852
-0020,1.548828
00004,1.549805
-0008,1.550781
-0016,1.551758
-0239,1.552734
00020,1.553711
-0144,1.554688
00012,1.555664
-0016,1.556641
00020,1.557617
-0020,1.558594
00052,1.559570
00207,1.560547
00044,1.561523
-0008,1.562500
-0020,1.563477
-0052,1.564453
-0028,1.565430
00008,1.566406
00060,1.567383
00203,1.568359
00036,1.569336
-0072,1.570312
00132,1.571289
00048,1.572266
-0012,1.573242
00028,1.574219
-0004,1.575195
-0076,1.576172
00012,1.577148
00072,1.578125
-0140,1.579102
-0016,1.580078
00036,1.581055
-0008,1.582031
00004,1.583008
00060,1.583984
-0004,1.584961
-0012,1.585938
-0096,1.586914
00024,1.587891
00004,1.588867
-0060,1.589844
00036,1.590820
-0203,1.591797
-0024,1.592773
00156,1.593750
-0024,1.594727
00020,1.595703
00028,1.596680
00008,1.597656
-0020,1.598633
00084,1.599609
